city_pair,distance_to_largest_city,time_to_largest_city
"('college%20sainttion,TX', 'houston,TX')",94.64291,86.0
"('ocala,FL', 'jacksonville,FL')",101.901769,108.61666666666666
"('sacramento,CA', 'los%20angeles,CA')",384.08569,314.9833333333333
"('cleveland,OH', 'columbus,OH')",144.461346,123.45
"('circleville,OH', 'columbus,OH')",28.394799,33.583333333333336
"('grand%20prairie,TX', 'houston,TX')",252.068545,203.2333333333333
"('clearwater,FL', 'jacksonville,FL')",220.368051,218.15
"('reno,NV', 'las%20vegas,NV')",448.592097,406.06666666666666
"('west%20palm%20beach,FL', 'jacksonville,FL')",283.256408,223.88333333333333
"('bronx,NY', 'new%20york%20city,NY')",12.102447,28.25
"('hialeah,FL', 'jacksonville,FL')",349.989188,288.25
"('moultrie,GA', 'atlanta,GA')",205.891966,178.08333333333334
"('athens,GA', 'atlanta,GA')",73.090029,73.76666666666667
"('lehigh%20acres,FL', 'jacksonville,FL')",300.08811,290.95
"('pineville,NC', 'charlotte,NC')",14.812246,19.516666666666666
"('pottstown,PA', 'philadelphia,PA')",40.90673,43.25
"('kingsport,TN', 'nashville,TN')",276.635698,232.9833333333333
"('saintten%20island,NY', 'new%20york%20city,NY')",14.664982,31.766666666666666
"('saint%20petersburg,FL', 'jacksonville,FL')",245.625547,205.4
"('tallahassee,FL', 'jacksonville,FL')",163.585287,141.01666666666668
"('charlotte,VT', 'burlington,VT')",12.337325,21.7
"('amarillo,TX', 'houston,TX')",606.174938,513.0666666666667
"('temple,TX', 'houston,TX')",172.911447,159.16666666666666
"('parkland,FL', 'jacksonville,FL')",317.54802,257.4
"('broadview%20heights,OH', 'columbus,OH')",131.383346,114.68333333333334
"('tacoma,WA', 'seattle,WA')",33.754747,35.43333333333333
"('cincinnati,OH', 'columbus,OH')",106.818058,92.38333333333334
"('surprise,AZ', 'phoenix,AZ')",27.644804,32.35
"('shoreline,WA', 'seattle,WA')",11.372957,12.95
"('yonkers,NY', 'new%20york%20city,NY')",22.079804,39.083333333333336
"('pasadena,CA', 'los%20angeles,CA')",11.103903,17.233333333333334
"('kingwood,TX', 'houston,TX')",26.140465,29.383333333333333
"('sachse,TX', 'houston,TX')",257.236489,216.4
"('helotes,TX', 'houston,TX')",219.322283,182.5
"('south%20pasadena,FL', 'jacksonville,FL')",249.52403,218.83333333333331
"('oakland,CA', 'los%20angeles,CA')",370.88093,305.28333333333336
"('buffalo,NY', 'new%20york%20city,NY')",372.490282,350.76666666666665
"('bryan,TX', 'houston,TX')",100.161308,90.13333333333334
"('peoria,AZ', 'phoenix,AZ')",13.462007,25.666666666666668
"('san%20marino,CA', 'los%20angeles,CA')",12.043416,18.08333333333333
"('saintrling%20heights,MI', 'detroit,MI')",24.184388,32.916666666666664
"('binghamton,NY', 'new%20york%20city,NY')",175.921369,166.48333333333332
"('olmsted%20falls,OH', 'columbus,OH')",132.000989,117.5
"('irving,TX', 'houston,TX')",251.020291,203.85
"('west%20hollywood,CA', 'los%20angeles,CA')",8.761334,18.616666666666667
"('harker%20heights,TX', 'houston,TX')",200.873151,185.36666666666667
"('pensacola,FL', 'jacksonville,FL')",358.674093,290.35
"('palmetto%20bay,FL', 'jacksonville,FL')",367.474573,302.65
"('little%20neck,NY', 'new%20york%20city,NY')",19.181107,33.166666666666664
"('kirkland,WA', 'seattle,WA')",15.997823,19.23333333333333
"('mercer%20island,WA', 'seattle,WA')",6.598341,10.95
"('goodyear,AZ', 'phoenix,AZ')",19.034464,20.8
"('riverside,CA', 'los%20angeles,CA')",53.984108,53.9
"('litchfield%20park,AZ', 'phoenix,AZ')",21.024716,25.716666666666665
"('bethesda,MD', 'baltimore,MD')",37.538276,42.13333333333333
"('watersound,FL', 'jacksonville,FL')",174.915369,174.03333333333333
"('round%20rock,TX', 'houston,TX')",183.285239,165.11666666666667
"('denver,CO', 'denver,CO')",0.0,0.0
"('madeira%20beach,FL', 'jacksonville,FL')",225.787029,217.9333333333333
"('swanton,VT', 'burlington,VT')",37.060442,36.88333333333333
"('navasota,TX', 'houston,TX')",73.750547,66.86666666666666
"('cleveland,GA', 'atlanta,GA')",77.843519,79.98333333333333
"('longmont,CO', 'denver,CO')",33.468295,45.333333333333336
"('winston%20salem,NC', 'charlotte,NC')",80.540891,70.88333333333334
"('escondido,CA', 'los%20angeles,CA')",102.831961,91.15
"('miramar,FL', 'jacksonville,FL')",343.889809,287.6666666666667
"('asheville,NC', 'charlotte,NC')",133.29717,119.83333333333331
"('richmond,TX', 'houston,TX')",32.900983,34.68333333333333
"('pearland,TX', 'houston,TX')",16.783236,25.33333333333333
"('clarksville,TN', 'nashville,TN')",44.250949,44.41666666666666
"('hixson,TN', 'nashville,TN')",144.351363,128.3
"('brooksville,FL', 'jacksonville,FL')",164.439672,162.45
"('monterey%20park,CA', 'los%20angeles,CA')",8.57368,12.683333333333334
"('moreno%20valley,CA', 'los%20angeles,CA')",65.117837,62.1
"('lacey,WA', 'seattle,WA')",56.841794,54.96666666666667
"('forest%20hills,NY', 'new%20york%20city,NY')",13.387442,26.166666666666668
"('hastings,MI', 'detroit,MI')",136.621505,126.98333333333332
"('long%20island%20city,NY', 'new%20york%20city,NY')",8.477367,23.35
"('murrieta,CA', 'los%20angeles,CA')",80.384306,74.08333333333333
"('kirby,TX', 'houston,TX')",189.445513,156.51666666666668
"('olympia,WA', 'seattle,WA')",60.734063,58.21666666666667
"('pinecrest,FL', 'jacksonville,FL')",360.179676,297.9
"('anaheim,CA', 'los%20angeles,CA')",26.027997,29.03333333333333
"('waddell,AZ', 'phoenix,AZ')",33.213533,35.63333333333333
"('lakewood,CO', 'denver,CO')",7.386239,12.883333333333333
"('bothell,WA', 'seattle,WA')",16.635971,25.08333333333333
"('sarasota,FL', 'jacksonville,FL')",267.261692,232.53333333333333
"('ringgold,GA', 'atlanta,GA')",101.430148,87.93333333333334
"('raleigh,NC', 'charlotte,NC')",168.602238,145.23333333333332
"('long%20beach,CA', 'los%20angeles,CA')",24.764749,29.566666666666663
"('vancouver,WA', 'seattle,WA')",164.818087,145.25
"('wilmington,NC', 'charlotte,NC')",198.499513,198.15
"('wesley%20chapel,NC', 'charlotte,NC')",21.192486,31.716666666666665
"('springfield,IL', 'chicago,IL')",201.308732,169.73333333333332
"('south%20ozone%20park,NY', 'new%20york%20city,NY')",17.903568,34.083333333333336
"('aurora,CO', 'denver,CO')",16.618573,22.85
